阅 读 词 汇新 题             1995.8-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
	abundant	plentiful	a.	大量的
	accelerate	increase	v.	加速；加大
	accessible	available	a.	可用的
	accordingly	for that reason 	ad.	因此
	accordingly	consequently	ad.	因此
	account	explain	v.	解释；说明
2	account for	explain	v.	解释，说明
2	account for	explain	v.	解释，说明
	accumulate	collect	v.	积累；积聚
	accumulate	collect	v.	聚集
	adhere	stick	v.	黏附；胶着
	adjunct	addition	n.	附加物
	administered	managed	v.	管理
	adorn	decorate	v.	装饰
	adversely	negatively	ad.	不利地；有害地
	advocate	proponent	n.	倡导者；辩护者
	aesthetically	artistically	ad.	审美地；美学地
	aided	helped	v.	帮助
	alert	wary	a.	机敏的
	alter	change	v.	改变；调整
	alternative	option	n.	替代；替代物
	altogether	completely	ad.	完全地
	ancillary	secondary	a.	附属的；辅助的
	annihilate	conquer	v.	消灭；征服
	antagonist	enemy	n.	对手；敌人
	antecedent	predecessor	n.	先辈
	anticipate	look forward to 	v.	期待；盼望
	apace with	as fast as		快速的
	appealing	attractive	a.	吸引人的
	apply	used for	v.	应用；适用
	appreciated	recognized	v.	赏识
	appreciation	recognition	n.	鉴赏；鉴别
	aptly	appropriately	ad.	适当地
	arduous	difficult	a.	艰巨的；艰苦的
	article	object	n.	物品，物体
	ascend	climb	v.	攀升；升高
2	assemble	gather	v.	装配；组合
2	assemble	bring together	v.	装配；组合
	assortment	variety	n.	形形色色；各式各样
	assumption	belief	n.	确信的想法
	attachment	preference for	n.	依恋；偏好
	attained	achieved	v.	达到
	attained	reached	v.	达到
	attendant	accompanying	n.	服务员
	attire	clothing	n.	衣着；盛装
	attribute	credit	v.	被认为；被鉴定
	attribute	characteristics	n.	特征
	avail	make use	v.	有用
	avid	eager	a.	渴望的；热心的
	barren	infertile	a.	贫瘠的；不毛的
	besides	in addition to	prep.	除此之外
2	bias	prejudice	n.	偏见；嗜好
2	bias	prejudice	n.	偏见；嗜好
	bind	tie	v.	捆；绑；使结合
	boosted	raised	v.	提高，推进
	bound	limit	n.	范围；界限
	bound	held	v.	限制
	break	departure from	n.	决裂；破裂
	brief look	glance	n.	瞥视；浏览
	bring about	cause	v.	导致；引起
	brittle	easily broken	a.	易碎的
	calculate	determine	v.	计算；确定
	came to the forefront	became impotant		
	carried on	continued	v.	继续
	carry	support	v.	支撑；支持
	cease	stop	v.	停止；结束
	celebratory	full of praise	n.	颂扬
	celestial	astronomical	a.	天空的；天上的
	chance	unplanned	a.	偶然的；碰巧的
	characteristics	qualities	n.	性质，特性
	chronicle	describe	v.	记述
	classify	categorize	v.	分类
	clear	unobstructed	a.	畅通的；无阻的
2	clue	information	n.	线索；信息
2	clue	information	n.	线索；信息
	cluster	group	v.	成群
	coarse	rough	a.	粗糙的
	coarse	crude	a.	粗糙的
	coin	create	v.	创造；杜撰
	coincide with happen 	at the same time	ad.	同时
	collective	group	n.	集体
	collectively	together	ad.	共同地
	come of age	establish itself	v.	达到法定年龄；确立自身地位
	comparably	similarly	ad.	可比地；相当地
	component	parts	n.	部分
	compose	focus on 	v.	创作；创造
	comprise	consist of 	v.	包含；包括
	concealed	covered	a.	隐藏着的
	concentrate	cluster	v.	集中；积聚
	conclusive	definitive	a.	最后的
	concomitant with 	in conjunction with	ad.	协同
	concrete	specific	a.	具体的；特定的
	configuration	arrangement	n.	结构；形状
	confine	limit	v.	限制；局限
	confine	restrict	v.	限制
	confirm	uphold	v.	证实；确认
	conflicting	opposing	a.	冲突的；抵触的
	conjectural	based on guessing	a.	猜测的；推测的
	consequence	result	n.	结果
2	conserve	store	v.	保存；保护
2	conserve	retain	v.	保存；保护
3	considerable	large	a.	很重要的；很大的
3	considerable	substantial 	a.	很重要的；很大的
3	considerable	much	a.	很重要的；很大的
	considerable	great	a.	相当大的
	consistent	constant	a.	持续的
	consorted	associated	v.	结交
	conspicuous	noticeable	a.	显著的
	constituent	component	n.	成分；要素
	constitute	make up	v.	构成；组成
	consumed	eaten	v.	吃掉
	consumption	eat	n.	消费；消耗
	contemporary	existing	a.	当代的；现有的
	contemporary	written at that time	n.	同时代
	convergence	gathering	n.	聚集
	convert	change	v.	转换
	converted	changed	v.	转变
	correspondingly	similarly	ad.	相应地；对应地
	count	weigh	v.	有价值；有分量
	counteract	negate	v.	抵消；反作用
	counterpart	version	n.	复本；对应物
	crisscross	move back and forth	v.	穿梭；交错往来
	critical judge of fine arts	connoisseur	n.	鉴赏家；评论家
	crucial	important	a.	重要的
	cumbersome	burdensome	a.	麻烦的；笨重的
	dampen	moisten	v.	使潮湿
	daring	bold	a.	勇敢的；大胆的
	deft	skilled	a.	熟练的；灵巧的
	deliberate	careful	a.	审慎的；仔细的
	demand	require	v.	要求；需求
	demise	death	n.	死亡
	demonstrate	show	v.	表明；证实
	dense	thick	a.	稠密的；浓厚的
	depress	lower	v.	压低；使沮丧
	derive	obtain	v.	得到
	derived from	based on	v.	基于
2	detectable	measurable	a.	可察觉的；易发现的
2	detectable	apparent	a.	可察觉的；易发现的
	detecting	finding	v.	探测
	devastated	ruined	a.	毁坏的；被破坏的
	developing	evolving	a.	发展的；演化的
2	devote to	dedicate	v.	致力于；献身于
2	devote to	specializing in	v.	致力于；献身于
	dictate	determine	v.	指示；决定
	dictate	determine	v.	确定；决定
	diffuse	travel	v.	扩散；传播
	disaster	catastrophe	n.	灾难
	discard	get rid of	v.	丢弃；抛弃
	dispute	argument	n.	争论；争执
