阅读词汇   1976-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
	a handful of	a few	n.	小撮；一把
	a setback to	a check to the progress of 	n.	挫折；障碍
2	abandon	give up	v.	放弃;抛弃
2	abandon	give up	v.	放弃;抛弃
	abbreviate	short	v.	缩写;节略
	abhorrent	distasteful	a.	讨厌的;不合口味的
	abiding	enduring	a.	持续的;永久的
	ablaze	radiant	a.	闪耀的;绚丽的
	abnormally	exceptionally	ad.	反常地;异常地
	abolish	eliminate	v.	取消;废除
	abound in	be full of	v.	充满;盛满
2	abroad	in the foreign countries	ad.	在国外;到国外
2	abroad	in other countries	ad.	在国外;到国外
	abrupt	sudden	a.	突然的;意外的
3	abruptly	suddenly	ad.	突然地;意外地
3	abruptly	suddenly	ad.	突然地;意外地
3	abruptly	suddenly	ad.	突然地;意外地
	absentminded	forgetful	a.	心不在焉的
	abstract	summary	n.	"摘要,概括"
3	abundant	plentiful	a.	丰富的;充裕的
3	abundant	plentiful	a.	丰富的;充裕的
3	abundant	plentiful	a.	丰富的;充裕的
	abundant	plentiful	a.	大量的
2	abundantly	in great numbers	ad.	充裕地;大量地
2	abundantly	generously	ad.	充裕地;大量地
	academy	school	n.	中等学校;专科院校
	accede with	agree to	v.	同意;应允
	accelerate	increase	v.	加速；加大
2	accelerate	rapid	v.	加速;加快
2	accelerate	speed up	v.	加速;加快
	accept	permitted	v.	接受;认可
	access	admittance to	n.	进入;接近
	accessible	available	a.	易得到的;易接近的
	accessible	available	a.	可用的
3	acclaim	praised	v.	欢呼;喝彩   
3	acclaim	praised	v.	欢呼;喝彩   
3	acclaim	recognition	n.	recognition承认;公认
 	accommodate	handle	v.	容纳;运营
	accommodation	lodging	n.	招待设备;膳宿供应
2	accompany 	joined	v.	伴随;陪同
2	accompany 	traveled with	v.	伴随;陪同
	accordingly	for that reason 	ad.	因此
	accordingly	consequently	ad.	因此
	account	explain	v.	解释；说明
2	account for	explain	v.	account for解释;说明
2	account for	explain	v.	解释，说明
2	account for	explain	v.	解释，说明
	accretion	accumulation	n.	增加;积累
